corpus_name,canonical_author_id,name_script,source,confidence,status
Guy Aloni,guy_aloni,EN,spreadsheet_exact,1.0,accepted
Guy Hircefeld,guy_hircefeld,EN,spreadsheet_exact,1.0,accepted
Guy Josif,guy_josif,EN,spreadsheet_exact,1.0,accepted
Hadas Binyamini,hadas_binyamini,EN,spreadsheet_exact,1.0,accepted
Hadi Rami,hadi_rami,EN,spreadsheet_exact,1.0,accepted
Hagai El-Ad,hagai_el_ad,EN,spreadsheet_exact,1.0,accepted
Haggai Matar,haggai_matar,EN,spreadsheet_exact,1.0,accepted
Hagit Naali-Joseph,hagit_naali_joseph,EN,spreadsheet_exact,1.0,accepted
Hagit Ofran,hagit_ofran,EN,spreadsheet_exact,1.0,accepted
Haidi Motola,haidi_motola,EN,spreadsheet_exact,1.0,accepted
Haitham S.,haitham_s,EN,spreadsheet_exact,1.0,accepted
Hakim Bishara,hakim_bishara,EN,spreadsheet_exact,1.0,accepted
Hala H.,hala_h,EN,spreadsheet_exact,1.0,accepted
Halah Ahmad,halah_ahmad,EN,spreadsheet_exact,1.0,accepted
Hamdan Ballal Al-Huraini,hamdan_ballal_al_huraini,EN,spreadsheet_exact,1.0,accepted
Hana Elias,hana_elias,EN,spreadsheet_exact,1.0,accepted
Haneen Zoabi,haneen_zoabi,EN,spreadsheet_exact,1.0,accepted
Hanine Hassan,hanine_hassan,EN,spreadsheet_exact,1.0,accepted
Hanno Hauenstein,hanno_hauenstein,EN,spreadsheet_exact,1.0,accepted
Harry Reis,harry_reis,EN,spreadsheet_exact,1.0,accepted
Harvey Stein,harvey_stein,EN,spreadsheet_exact,1.0,accepted
Hassan Shakur,hassan_shakur,EN,spreadsheet_exact,1.0,accepted
Hebh Jamal,hebh_jamal,EN,spreadsheet_exact,1.0,accepted
Heidi-Jane Esakov,heidi_jane_esakov,EN,spreadsheet_exact,1.0,accepted
Henriette Chacar,henriette_chacar,EN,spreadsheet_exact,1.0,accepted
Hiba Husseini,hiba_husseini,EN,spreadsheet_exact,1.0,accepted
